customer_id,signup_date,plan,monthly_price,apps_used,monthly_logins,support_tickets,seats,company_size,industry,country,tenure_months,churned,churn_month,upsell_flag
ZHO-00000,2024-05-10,Professional,35,4,10,0,9,1-10,Technology,India,12,0,,0
ZHO-00001,2024-11-10,Enterprise,50,6,16,4,47,11-50,Education,United Kingdom,6,1,1.0,0
ZHO-00002,2022-05-02,Enterprise,50,6,19,1,26,1-10,Consulting,India,37,0,,1
ZHO-00003,2023-04-12,Free,0,1,3,1,2,1-10,Education,India,26,1,14.0,0
ZHO-00004,2022-11-27,Enterprise,50,5,39,3,28,1-10,Manufacturing,India,30,0,,1
ZHO-00005,2022-03-29,Professional,35,3,21,4,11,11-50,Retail,United States,38,0,,1
ZHO-00006,2024-05-21,Zoho One,105,8,53,8,7,1-10,Real Estate,Australia,12,0,,0
ZHO-00007,2022-05-11,Professional,35,2,21,1,11,11-50,Consulting,United States,37,0,,1
ZHO-00008,2024-02-09,Zoho One,105,16,29,2,57,11-50,Manufacturing,India,15,0,,0
ZHO-00009,2022-12-10,Enterprise,50,3,11,4,37,1-10,Healthcare,Germany,30,1,8.0,0
ZHO-00010,2024-03-16,Standard,20,1,4,1,2,51-200,Technology,India,14,0,,0
ZHO-00011,2023-01-21,Professional,35,2,22,1,10,51-200,Real Estate,Australia,28,0,,1
ZHO-00012,2024-08-13,Zoho One,105,18,36,1,61,51-200,Healthcare,Australia,9,0,,0
ZHO-00013,2022-10-04,Enterprise,50,3,11,4,24,11-50,Retail,India,32,0,,0
ZHO-00014,2023-04-05,Free,0,1,2,0,1,500+,Healthcare,India,26,1,8.0,0
ZHO-00015,2022-01-22,Enterprise,50,6,21,6,49,201-500,Consulting,Germany,40,0,,1
ZHO-00016,2022-09-10,Standard,20,1,9,2,3,11-50,Education,United States,33,0,,0
ZHO-00017,2024-01-18,Free,0,1,3,0,2,11-50,Finance,India,16,1,1.0,0
ZHO-00018,2024-05-06,Standard,20,1,5,0,2,1-10,Technology,Germany,13,1,2.0,0
ZHO-00019,2023-04-20,Standard,20,1,10,1,2,51-200,Consulting,India,25,1,4.0,0
ZHO-00020,2024-12-18,Enterprise,50,4,16,10,25,11-50,Technology,India,5,0,,1
ZHO-00021,2023-05-26,Standard,20,1,7,0,2,201-500,Consulting,United States,24,0,,0
ZHO-00022,2023-12-01,Enterprise,50,5,27,1,13,11-50,Education,United Kingdom,18,0,,1
ZHO-00023,2024-09-02,Free,0,1,2,0,2,500+,Manufacturing,United States,9,1,1.0,0
ZHO-00024,2022-07-09,Standard,20,2,7,1,4,201-500,Real Estate,India,35,1,3.0,0
ZHO-00025,2024-08-15,Standard,20,1,10,1,2,500+,Real Estate,United States,9,0,,0
ZHO-00026,2023-11-18,Standard,20,2,6,0,4,11-50,Real Estate,United States,18,1,6.0,0
ZHO-00027,2024-08-15,Free,0,1,3,0,2,1-10,Healthcare,Canada,9,1,1.0,0
ZHO-00028,2023-07-17,Standard,20,2,10,1,4,51-200,Technology,United States,22,1,9.0,0
ZHO-00029,2024-04-11,Professional,35,2,26,0,14,51-200,Consulting,United States,13,0,,1
ZHO-00030,2023-10-09,Standard,20,2,10,1,2,1-10,Consulting,India,20,1,5.0,0
